"Property Name",,"ru-RU","Node Path"
"Caption","Oid Map","OID карта","BOModel\XafDelta.Messaging.OidMap"
"Caption","Target","Целевой показатель","BOModel\XafDelta.Messaging.OidMap\OwnMembers\Target"
"Caption","Node Id","Идентификатор узла","BOModel\XafDelta.Messaging.OidMap\OwnMembers\NodeId"
"Caption","Target Object","Целевой объект","BOModel\XafDelta.Messaging.OidMap\OwnMembers\TargetObject"
"Caption","Package","Пакет","BOModel\XafDelta.Messaging.Package"
"Caption","Application Name","Имя приложения","BOModel\XafDelta.Messaging.Package\OwnMembers\ApplicationName"
"Caption","Sender Node Id","Идентификатор узла отправителя","BOModel\XafDelta.Messaging.Package\OwnMembers\SenderNodeId"
"Caption","Recipient Node Id","Идентификатор узла получателя","BOModel\XafDelta.Messaging.Package\OwnMembers\RecipientNodeId"
"Caption","Package Id","Идентификатор пакета","BOModel\XafDelta.Messaging.Package\OwnMembers\PackageId"
"Caption","Package Type","Тип пакета","BOModel\XafDelta.Messaging.Package\OwnMembers\PackageType"
"Caption","Package Date Time","Дата и время пакета","BOModel\XafDelta.Messaging.Package\OwnMembers\PackageDateTime"
"Caption","Local Package Date Time","Локальная дата и время пакета","BOModel\XafDelta.Messaging.Package\OwnMembers\LocalPackageDateTime"
"Caption","User Name","Имя пользователя","BOModel\XafDelta.Messaging.Package\OwnMembers\UserName"
"Caption","Package Data","Данные пакета","BOModel\XafDelta.Messaging.Package\OwnMembers\PackageData"
"Caption","File Name","Имя файла","BOModel\XafDelta.Messaging.Package\OwnMembers\FileName"
"Caption","Recipient Address","Адрес получателя","BOModel\XafDelta.Messaging.Package\OwnMembers\RecipientAddress"
"Caption","Loaded Date Time","Дата и время загрузки","BOModel\XafDelta.Messaging.Package\OwnMembers\LoadedDateTime"
"Caption","Local Loaded Date Time","Локальная дата и время загрузки","BOModel\XafDelta.Messaging.Package\OwnMembers\LocalLoadedDateTime"
"Caption","Is Input","Входящий","BOModel\XafDelta.Messaging.Package\OwnMembers\IsInput"
"Caption","Is Output","Исходящий","BOModel\XafDelta.Messaging.Package\OwnMembers\IsOutput"
"Caption","External State","Внешнее состояние","BOModel\XafDelta.Messaging.Package\OwnMembers\ExternalState"
"Caption","Local State","Локальное состояние","BOModel\XafDelta.Messaging.Package\OwnMembers\LocalState"
"Caption","Package Tickets","Квитанции","BOModel\XafDelta.Messaging.Package\OwnMembers\PackageTickets"
"Caption","External Tickets","Внешние квитанции","BOModel\XafDelta.Messaging.Package\OwnMembers\ExternalTickets"
"Caption","Log Records","Записи журнала","BOModel\XafDelta.Messaging.Package\OwnMembers\LogRecords"
"Caption","Is Broadcast","Широковещательный","BOModel\XafDelta.Messaging.Package\OwnMembers\IsBroadcast"
"Caption","Package Log Record","Запись журнала пакета","BOModel\XafDelta.Messaging.PackageLogRecord"
"Caption","File Name","Имя файла","BOModel\XafDelta.Messaging.PackageLogRecord\OwnMembers\FileName"
"Caption","Event Date Time","Дата и время события","BOModel\XafDelta.Messaging.PackageLogRecord\OwnMembers\EventDateTime"
"Caption","Local Event Date Time","Локальная дата и время события","BOModel\XafDelta.Messaging.PackageLogRecord\OwnMembers\LocalEventDateTime"
"Caption","Event Moment","Момент события","BOModel\XafDelta.Messaging.PackageLogRecord\OwnMembers\EventMoment"
"Caption","Package Event Type","Тип события пакета","BOModel\XafDelta.Messaging.PackageLogRecord\OwnMembers\PackageEventType"
"Caption","User Name","Имя пользователя","BOModel\XafDelta.Messaging.PackageLogRecord\OwnMembers\UserName"
"Caption","Comments","Комментарии","BOModel\XafDelta.Messaging.PackageLogRecord\OwnMembers\Comments"
"Caption","Package Marker","Маркер пакета","BOModel\XafDelta.Messaging.PackageMarker"
"Caption","Application Name","Имя приложения","BOModel\XafDelta.Messaging.PackageMarker\OwnMembers\ApplicationName"
"Caption","Sender Node Id","Идентификатор узла отправителя","BOModel\XafDelta.Messaging.PackageMarker\OwnMembers\SenderNodeId"
"Caption","Recipient Node Id","Идентификатор узла получателя","BOModel\XafDelta.Messaging.PackageMarker\OwnMembers\RecipientNodeId"
"Caption","Package Id","Идентификатор пакета","BOModel\XafDelta.Messaging.PackageMarker\OwnMembers\PackageId"
"Caption","Package Type","Тип пакета","BOModel\XafDelta.Messaging.PackageMarker\OwnMembers\PackageType"
"Caption","Package Date Time","Дата и время пакета","BOModel\XafDelta.Messaging.PackageMarker\OwnMembers\PackageDateTime"
"Caption","User Name","Имя пользователя","BOModel\XafDelta.Messaging.PackageMarker\OwnMembers\UserName"
"Caption","Package Object Reference","Ссылка на объект пакета","BOModel\XafDelta.Messaging.PackageObjectReference"
"Caption","Known Mapping","Известные отображения","BOModel\XafDelta.Messaging.PackageObjectReference\OwnMembers\KnownMapping"
"Caption","Package Record","Запись пакета","BOModel\XafDelta.Messaging.PackageRecord"
"Caption","Package Session","Сессия пакета","BOModel\XafDelta.Messaging.PackageRecord\OwnMembers\PackageSession"
"Caption","User Name","Имя пользователя","BOModel\XafDelta.Messaging.PackageRecord\OwnMembers\UserName"
"Caption","Modified On","Изменено","BOModel\XafDelta.Messaging.PackageRecord\OwnMembers\ModifiedOn"
"Caption","Operation Type","Тип операции","BOModel\XafDelta.Messaging.PackageRecord\OwnMembers\OperationType"
"Caption","Audit Operation Type","Тип операции аудита","BOModel\XafDelta.Messaging.PackageRecord\OwnMembers\AuditOperationType"
"Caption","Description","Описание","BOModel\XafDelta.Messaging.PackageRecord\OwnMembers\Description"
"Caption","Old Value","Старое значение","BOModel\XafDelta.Messaging.PackageRecord\OwnMembers\OldValue"
"Caption","New Value","Новое значение","BOModel\XafDelta.Messaging.PackageRecord\OwnMembers\NewValue"
"Caption","Property Name","Имя свойства","BOModel\XafDelta.Messaging.PackageRecord\OwnMembers\PropertyName"
"Caption","New Blob Value","Новое значение Blob","BOModel\XafDelta.Messaging.PackageRecord\OwnMembers\NewBlobValue"
"Caption","Package Session","Сессия пакета","BOModel\XafDelta.Messaging.PackageSession"
"Caption","Parent","Родитель","BOModel\XafDelta.Messaging.PackageSession\OwnMembers\Parent"
"Caption","Session Id","Идентификатор сеанса","BOModel\XafDelta.Messaging.PackageSession\OwnMembers\SessionId"
"Caption","Route","Маршрут","BOModel\XafDelta.Messaging.PackageSession\OwnMembers\Route"
"Caption","Utc Offset","Смещение UTC","BOModel\XafDelta.Messaging.PackageSession\OwnMembers\UtcOffset"
"Caption","Started On","Начало","BOModel\XafDelta.Messaging.PackageSession\OwnMembers\StartedOn"
"Caption","Local Started On","Локальное начало","BOModel\XafDelta.Messaging.PackageSession\OwnMembers\LocalStartedOn"
"Caption","Commited On","Записано","BOModel\XafDelta.Messaging.PackageSession\OwnMembers\CommitedOn"
"Caption","Local Commited On","Локально записано","BOModel\XafDelta.Messaging.PackageSession\OwnMembers\LocalCommitedOn"
"Caption","All Children","Все дети","BOModel\XafDelta.Messaging.PackageSession\OwnMembers\AllChildren"
"Caption","Package Records","Записи пакета","BOModel\XafDelta.Messaging.PackageSession\OwnMembers\PackageRecords"
"Caption","Ticket","Квитанция","BOModel\XafDelta.Messaging.Ticket"
"Caption","Package","Пакет","BOModel\XafDelta.Messaging.Ticket\OwnMembers\Package"
"Caption","Ticket Node Id","Идентификатор узла квитанции","BOModel\XafDelta.Messaging.Ticket\OwnMembers\TicketNodeId"
"Caption","Package Event Type","Тип события пакета","BOModel\XafDelta.Messaging.Ticket\OwnMembers\PackageEventType"
"Caption","User Name","Имя пользователя","BOModel\XafDelta.Messaging.Ticket\OwnMembers\UserName"
"Caption","Ticket Date Time","Дата и время квитанции","BOModel\XafDelta.Messaging.Ticket\OwnMembers\TicketDateTime"
"Caption","Local Ticket Date Time","Локальная Дата и время квитанции","BOModel\XafDelta.Messaging.Ticket\OwnMembers\LocalTicketDateTime"
"Caption","Processing Date Time","Дата и время обработки","BOModel\XafDelta.Messaging.Ticket\OwnMembers\ProcessingDateTime"
"Caption","Local Processing Date Time","Локальная Дата и время обработки","BOModel\XafDelta.Messaging.Ticket\OwnMembers\LocalProcessingDateTime"
"Caption","Comments","Комментарии","BOModel\XafDelta.Messaging.Ticket\OwnMembers\Comments"
"Caption","File Name","Имя файла","BOModel\XafDelta.Messaging.Ticket\OwnMembers\FileName"
"Caption","Recipient Address","Адрес получателя","BOModel\XafDelta.Messaging.Ticket\OwnMembers\RecipientAddress"
"Caption","External Protocol Session","Внешний сеанс протокола","BOModel\XafDelta.Protocol.ExternalProtocolSession"
"Caption","Route","Маршрут","BOModel\XafDelta.Protocol.ExternalProtocolSession\OwnMembers\Route"
"Caption","Method Call Params","Параметры вызова метода","BOModel\XafDelta.Protocol.MethodCallParams"
"Caption","Method Param Values","Значения параметров метода","BOModel\XafDelta.Protocol.MethodCallParams\OwnMembers\MethodParamValues"
"Caption","Method Param Value","Значение метода Param","BOModel\XafDelta.Protocol.MethodParamValue"
"Caption","Ord No","Порядковый номер","BOModel\XafDelta.Protocol.MethodParamValue\OwnMembers\OrdNo"
"Caption","Method Call Params","Параметры вызова метода","BOModel\XafDelta.Protocol.MethodParamValue\OwnMembers\MethodCallParams"
"Caption","Scalar Value","Скалярное значение","BOModel\XafDelta.Protocol.MethodParamValue\OwnMembers\ScalarValue"
"Caption","Assembly Qualified Name","Полное имя сборки","BOModel\XafDelta.Protocol.MethodParamValue\OwnMembers\AssemblyQualifiedName"
"Caption","Protocol Record","Запись протокола","BOModel\XafDelta.Protocol.ProtocolRecord"
"Caption","New Blob Value","Новое двоичное значение","BOModel\XafDelta.Protocol.ProtocolRecord\OwnMembers\NewBlobValue"
"Caption","Replication Key","Ключ репликации","BOModel\XafDelta.Protocol.ProtocolRecord\OwnMembers\ReplicationKey"
"Caption","Protocol Session","Сессия протокола","BOModel\XafDelta.Protocol.ProtocolRecord\OwnMembers\ProtocolSession"
"Caption","Local Modified On","Местное время изменения","BOModel\XafDelta.Protocol.ProtocolRecord\OwnMembers\LocalModifiedOn"
"Caption","Target Object","Целевой объект","BOModel\XafDelta.Protocol.ProtocolRecord\OwnMembers\TargetObject"
"Caption","Protocol Session","Сессия протокола","BOModel\XafDelta.Protocol.ProtocolSession"
"Caption","Session Id","Идентификатор сеанса","BOModel\XafDelta.Protocol.ProtocolSession\OwnMembers\SessionId"
"Caption","Parent","Родитель","BOModel\XafDelta.Protocol.ProtocolSession\OwnMembers\Parent"
"Caption","Started On","Начало","BOModel\XafDelta.Protocol.ProtocolSession\OwnMembers\StartedOn"
"Caption","Local Started On","Локальное начало","BOModel\XafDelta.Protocol.ProtocolSession\OwnMembers\LocalStartedOn"
"Caption","Commited On","Записано","BOModel\XafDelta.Protocol.ProtocolSession\OwnMembers\CommitedOn"
"Caption","Local Commited On","Локально записано","BOModel\XafDelta.Protocol.ProtocolSession\OwnMembers\LocalCommitedOn"
"Caption","Session Is Saved","Сессия сохранена","BOModel\XafDelta.Protocol.ProtocolSession\OwnMembers\SessionIsSaved"
"Caption","Protocol Records","Записи протокола","BOModel\XafDelta.Protocol.ProtocolSession\OwnMembers\ProtocolRecords"
"Caption","Is External","Внешнее","BOModel\XafDelta.Protocol.ProtocolSession\OwnMembers\IsExternal"
"Caption","Recipients Context Base","Контекст получателя","BOModel\XafDelta.Replication.RecipientsContextBase"
"Caption","Protocol Record","Запись протокола","BOModel\XafDelta.Replication.RecipientsContextBase\OwnMembers\ProtocolRecord"
"Caption","Recipient Node","Узел получателя","BOModel\XafDelta.Replication.RecipientsContextBase\OwnMembers\RecipientNode"
"Caption","Sender Node","Узел отправителя","BOModel\XafDelta.Replication.RecipientsContextBase\OwnMembers\SenderNode"
"Caption","Routing Type","Тип маршрутизации","BOModel\XafDelta.Replication.RecipientsContextBase\OwnMembers\RoutingType"
"Caption","Snapshot Oid Map","Карта Oid образа БД","BOModel\XafDelta.Replication.Snapshot.SnapshotOidMap"
"Caption","Target","Целевой показатель","BOModel\XafDelta.Replication.Snapshot.SnapshotOidMap\OwnMembers\Target"
"Caption","Stored Class Name","Сохраненное имя класса","BOModel\XafDelta.Replication.Snapshot.SnapshotOidMap\OwnMembers\StoredClassName"
"Caption","Known Mapping","Известные отображения","BOModel\XafDelta.Replication.Snapshot.SnapshotOidMap\OwnMembers\KnownMapping"
"Caption","Ord No","Порядковый номер","BOModel\XafDelta.Replication.Snapshot.SnapshotOidMap\OwnMembers\OrdNo"
"Caption","Assembly Name","Имя сборки","BOModel\XafDelta.Replication.Snapshot.SnapshotOidMap\OwnMembers\AssemblyName"
"Caption","Class Name","Имя класса","BOModel\XafDelta.Replication.Snapshot.SnapshotOidMap\OwnMembers\ClassName"
"Caption","Assembly Qualified Name","Полное имя сборки","BOModel\XafDelta.Replication.Snapshot.SnapshotOidMap\OwnMembers\AssemblyQualifiedName"
"Caption","Object Id","Идентификатор объекта","BOModel\XafDelta.Replication.Snapshot.SnapshotOidMap\OwnMembers\ObjectId"
"Caption","Replication Key","Ключ репликации","BOModel\XafDelta.Replication.Snapshot.SnapshotOidMap\OwnMembers\ReplicationKey"
"Caption","Replication Node","Узел репликации","BOModel\XafDelta.ReplicationNode"
"Caption","Parent Node","Вышестоящий узел","BOModel\XafDelta.ReplicationNode\OwnMembers\ParentNode"
"Caption","Node Id","Код узла","BOModel\XafDelta.ReplicationNode\OwnMembers\NodeId"
"Caption","Transport Address","Транспортный адрес","BOModel\XafDelta.ReplicationNode\OwnMembers\TransportAddress"
"Caption","Last Saved Package Number","Последний сохраненный пакет номер","BOModel\XafDelta.ReplicationNode\OwnMembers\LastSavedPackageNumber"
"Caption","Last Loaded Package Number","Номер последнего загруженного пакета","BOModel\XafDelta.ReplicationNode\OwnMembers\LastLoadedPackageNumber"
"Caption","Last Saved Snapshot Number","Номер последнего сформированного образа БД","BOModel\XafDelta.ReplicationNode\OwnMembers\LastSavedSnapshotNumber"
"Caption","Last Loaded Snapshot Number","Номер последнего загруженного образа","BOModel\XafDelta.ReplicationNode\OwnMembers\LastLoadedSnapshotNumber"
"Caption","Snapshot Date Time","Дата и время загрузки образа","BOModel\XafDelta.ReplicationNode\OwnMembers\SnapshotDateTime"
"Caption","Local Snapshot Date Time","Местная дата и время загрузки образа","BOModel\XafDelta.ReplicationNode\OwnMembers\LocalSnapshotDateTime"
"Caption","Init Date Time","Дата и время загрузки образа","BOModel\XafDelta.ReplicationNode\OwnMembers\InitDateTime"
"Caption","Local Init Date Time","Местная дата и время загрузки образа","BOModel\XafDelta.ReplicationNode\OwnMembers\LocalInitDateTime"
"Caption","Disabled","Отключено","BOModel\XafDelta.ReplicationNode\OwnMembers\Disabled"
"Value","Package Event Type","Тип события пакета","Localization\Enums\XafDelta.Messaging.PackageEventType"
"Value","Created","Создание","Localization\Enums\XafDelta.Messaging.PackageEventType\Created"
"Value","Exported","Экспортирован","Localization\Enums\XafDelta.Messaging.PackageEventType\Exported"
"Value","Failed","Сбой","Localization\Enums\XafDelta.Messaging.PackageEventType\Failed"
"Value","Imported","Импортирован","Localization\Enums\XafDelta.Messaging.PackageEventType\Imported"
"Value","Loaded","Загружен","Localization\Enums\XafDelta.Messaging.PackageEventType\Loaded"
"Value","Loading","Загрузка","Localization\Enums\XafDelta.Messaging.PackageEventType\Loading"
"Value","Rejected","Отклонен","Localization\Enums\XafDelta.Messaging.PackageEventType\Rejected"
"Value","Sent","Отправлен","Localization\Enums\XafDelta.Messaging.PackageEventType\Sent"
"Value","Session already loaded","Сессия уже загружена","Localization\Enums\XafDelta.Messaging.PackageEventType\SessionAlreadyLoaded"
"Value","Package Type","Тип пакета","Localization\Enums\XafDelta.Messaging.PackageType"
"Value","Protocol","Протокол","Localization\Enums\XafDelta.Messaging.PackageType\Protocol"
"Value","Snapshot","Образ БД","Localization\Enums\XafDelta.Messaging.PackageType\Snapshot"
"Value","Routing Type","Тип маршрутизации","Localization\Enums\XafDelta.RoutingType"
"Value","Broadcast routing","Широковещательная","Localization\Enums\XafDelta.RoutingType\BroadcastRouting"
"Value","Task routing","Целевая","Localization\Enums\XafDelta.RoutingType\TaskRouting"
"Value","aborted","прервана","Localization\Replication\Aborted"
"Value","Building packages","Формирование пакетов","Localization\Replication\BuildingPackages"
"Value","Building snapshot for {0} replication node","Формирование образа БД для узла репликации {0}епликация","Localization\Replication\BuildingSnapshotForNode"
"Value","Can't create snapshot for disabled node.","Не удается создать образ БД для отключенного узла.","Localization\Replication\CantCreateSnapshotForDisabled"
"Value","Can't delete current replication node","Не удается удалить текущий узел репликации","Localization\Replication\CantDeleteNode"
"Value","{0} collision detected for package record {1}. Resolved to {2}.","Обнаружен конфликт {0} для записи пакета {1}. Разрешено {2}.","Localization\Replication\CollisionDetected"
"Value","Replication collision {0} error: ","Ошибка конфликта репликации {0}:","Localization\Replication\CollisionError"
"Value","Exporting is aborted.","Экспорт прерван.","Localization\Replication\ExportAborted"
"Value","Export is finished","Экспорт завершен","Localization\Replication\ExportFinished"
"Value","Exporting file {0} ...","Экспорт файла {0} ...","Localization\Replication\ExportingFile"
"Value","File name is empty","Имя файла пусто","Localization\Replication\FileNameIsEmpty"
"Value","{0} files selected for export","{0} файлов отобрано для экспорта","Localization\Replication\FilesSelectedForExport"
"Value","{0} files selected for import","{0} файлов выбрано для импорта","Localization\Replication\FilesSelectedForImport"
"Value","finished","закончено","Localization\Replication\Finished"
"Value","Importing is aborted.","Импорт прерван.","Localization\Replication\ImportAborted"
"Value","Importing file {0} ...","Импорт файла {0} ...","Localization\Replication\ImportingFile"
"Value","Invalid file extension for file {0}. File skipped.","Недопустимое расширение файла {0}. Файл пропущен.","Localization\Replication\ImportInvalidFileExtension"
"Value","Package {0} is already exists in replication storage. File skipped.","Пакет {0} уже существует в хранилище репликации. Файл пропущен.","Localization\Replication\ImportPackageExists"
"Value","Ticket {0} is already exists in replication storage. File skipped.","Квитанция {0} уже существует в хранилище репликации. Файл пропущен.","Localization\Replication\ImportTicketExists"
"Value","Invalid package data: ","Недопустимый пакет данных:","Localization\Replication\InvalidPackageData"
"Value","Invalid package file name","Неверное имя файла пакета","Localization\Replication\InvalidPackageFileName"
"Value","Invalid package Id for package {0}. Actual {1}, expected {2}","Недопустимый код для пакета {0}. Фактически {1}, ожидается {2}","Localization\Replication\InvalidPackageId"
"Value","Invalid {2}: actual {0} expected {1}","Недопустимое {2}: фактически {0} ожидается {1}","Localization\Replication\InvalidPackageProp"
"Value","Loading aborted by user","Загрузка прервана пользователем","Localization\Replication\LoadingAborted"
"Value","Package loading is {0}","Загрузка пакета {0}","Localization\Replication\LoadingIs"
"Value","Packages loading is finished","Загрузка пакета закончена","Localization\Replication\LoadingIsFinished"
"Value","Loading package {0}","Загрузка пакета {0}","Localization\Replication\LoadingPackage"
"Value","Packages loading started","Начало загрузки пакетов","Localization\Replication\LoadingStarted"
"Value","'{0}' is reserved for broadcast packages and shouldn't be used as NodeId","'{0}' зарезервировано для широковещательных пакетов и не должно использоваться в качестве NodeId","Localization\Replication\NodeIdAllNodes"
"Value","NodeId contains invalid characters: '{0}'","NodeId содержит недопустимые знаки: '{0}'","Localization\Replication\NodeIdInvalidChars"
"Value","No source objects found for snapshot. Snapshot is not created.","Объекты не найдены для образа БД. Образ БД не создан.","Localization\Replication\NoObjectsFoundForSnapshot"
"Value","newObject is not implements ISessionProvider","newObject не реализует ISessionProvider","Localization\Replication\NotSessionProvider"
"Value","{0} objects found in snapshot","{0} объектов найденно в образе БД","Localization\Replication\ObjectsFoundInSnapshot"
"Value","Created package {0}","Создан пакет {0}","Localization\Replication\PackageCreated"
"Value","Package data is empty for package {0}.","Данные пакета пусты для пакета {0}.","Localization\Replication\PackageDataIsEmpty"
"Value","Package loading is failed with error {0}","Загрузка пакета завершилась с ошибкой {0}","Localization\Replication\PackageLoadError"
"Value","Package {0} loading is completed successfully","Пакет {0} успешно загружен","Localization\Replication\PackageLoadingCompleted"
"Value","Package {0} loading is failed","Сбой загрузки пакета {0}","Localization\Replication\PackageLoadingIsFailed"
"Value","Package {0} is rejected","Пакет {0} отклонен","Localization\Replication\PackageRejected"
"Value","Protocol package saving is failed with error {0}","Сохранение пакета завершилась с ошибкой {0}","Localization\Replication\PackageSaveFailed"
"Value","Protocol packages saving is {0}","Сохранение пакетов {0}","Localization\Replication\PackageSavingIs"
"Value","{0} packages selected for loading","{0} пакетов выбрано для загрузки","Localization\Replication\PackagesSelectedForLoading"
"Value","Replication","Репликация","Localization\Replication\Replication"
"Value","Saving data for protocol session {0}","Сохранение данных для протокола сессии {0}","Localization\Replication\SavingSessionData"
"Value","{0} packages selected for loading","{0} пакетов выбрано для загрузки","Localization\Replication\SelectedForLoading"
"Value","Sender node {0} is not found for package {1}. Anonymous package loading are not allowed.","Узел - отправитель {0} не найден для пакета {1}. Загрузка анонимных пакетов не разрешена.","Localization\Replication\SenderNodeIsNotFound"
"Value","Package session {0} was already loaded","Сессия {0} уже была загружена","Localization\Replication\SessionAlreadyLoaded"
"Value","Data for protocol session {0} is saved","Данные сессии протокола {0} сохранены","Localization\Replication\SessionDataSaved"
"Value","You should save target replication node before create snapshot.","Следует сохранить целевой узел репликации до создания образа БД.","Localization\Replication\ShouldSaveTargetNode"
"Value","Snapshot building is {0}","Создание образа БД {0}","Localization\Replication\SnapshotBuildingIs"
"Value","Snapshot building is failed with error {0}","Создание образа БД завершилось с ошибкой {0}","Localization\Replication\SnapshotFailed"
"Value","Snapshot loading is {0}","Загрузка образа БД {0}","Localization\Replication\SnapshotLoadingIs"
"Value","Snapshot loading is failed with error {0}","Загрузка образа БД завершилась с ошибкой {0}","Localization\Replication\SnapshotLoadingIsFailed"
"Value","{0} source objects found for class {1}","{0} исходных объектов найдено для класса {1}","Localization\Replication\SourceObjectsFoundForClass"
"Value","Target object already exists in application database","Целевой объект уже существует в базе данных приложения","Localization\Replication\TargetObjectExists"
"Value","Target object is not found in application database","Целевой объект не найден в базе данных приложения","Localization\Replication\TargetObjectNotFound"
"Value","Total: {0} objects is snapshoted","Всего {0} объектов помещено в образ БД","Localization\Replication\TotalObjectsSnapshoted"
"Caption","Replication Node","Узел репликации","Views\ReplicationNode_DetailView\Layout\Main\SimpleEditors\ReplicationNode"
